ID,Категория,Сложность,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Правильный (A/B/C/D),Объяснение,OK? (да/нет),Комментарий
q-content-14,CONTENT,EASY,"Вы хотите улучшить визуальное представление своего товара на маркетплейсе, но не имеете доступа к профессиональному фотографу. Как нейросети могут помочь в этой ситуации?",Создать реалистичные изображения товара на основе описания,Организовать фотосессию с моделями,Найти контакты фотостудий,Автоматически изменить цену товара,A,"Нейросети могут генерировать визуал, включая изображения и видео, что позволяет улучшить визуальное представление товара без привлечения фотографа.",,
q-content-15,CONTENT,HARD,"При создании карточки товара на маркетплейсе, вы столкнулись с необходимостью написания подробного описания. В чем заключается ключевое отличие подхода к использованию промтов для нейросетей, согласно учебным материалам?","Необходимо уметь адаптировать шаблоны промтов под свои задачи, а не просто копировать их","Достаточно найти готовый 'секретный' промт, который решит все проблемы","Промты не играют значительной роли, главное — это объем текста",Использование промтов строго запрещено на маркетплейсах,A,"Курс подчеркивает, что любой промт — это шаблон, который нужно уметь адаптировать под свои собственные задачи и товары, а не использовать как волшебную таблетку.",,
q-content-16,CONTENT,MEDIUM,Какие преимущества дают платные VPN-сервисы по сравнению с бесплатными при работе с зарубежными нейросетями для контента?,"Высокая скорость, техподдержка, защита данных от утечек",Гарантированная легальность использования в России,Возможность оплаты российскими картами,Автоматическое создание контента без промтов,A,"Платные VPN-сервисы предлагают высокую скорость, техническую поддержку и защиту данных пользователей от утечек, в отличие от бесплатных.",,
q-content-17,CONTENT,MEDIUM,Вы создали новую карточку товара и хотите провести A/B-тестирование разных вариантов описания. Как нейросети могут помочь в этом процессе?,Генерировать несколько вариантов описаний для тестирования,Автоматически запускать рекламные кампании,Выбирать наиболее популярные фотографии,Анализировать отзывы покупателей других товаров,A,"Нейросети могут помочь в генерации различных вариантов текстов, что полезно для A/B-тестирования описаний товаров.",,
q-content-18,CONTENT,EASY,"Что такое 'ИИ-агент' в контексте работы на маркетплейсах, согласно учебным материалам?","Узкопрофильный мозг, обученный выполнять одну или комплекс задач из одной сферы",Многофункциональный инструмент для всех задач,Программа для создания графического дизайна,Сервис для общения с покупателями,A,"ИИ-агент — это узкопрофильный мозг, обученный выполнять эффективно одну или комплекс задач из одной сферы, автоматизируя конкретные бизнес-процессы.",,
q-content-19,CONTENT,MEDIUM,Вы используете зарубежные нейросети для создания контента и заходите на них через VPN. Маркетплейс запросил дополнительное подтверждение входа. Почему это произошло и стоит ли беспокоиться?,"Маркетплейс фиксирует смену IP-адреса и страны входа, что может выглядеть как подозрительная активность, но это не угрожает аккаунту",Ваш аккаунт будет заблокирован за использование VPN,VPN-сервис украл ваши данные,Это стандартная процедура для всех пользователей,A,"Маркетплейсы могут запросить дополнительное подтверждение из-за резкой смены геолокации при использовании VPN, но это не ведет к блокировке аккаунта.",,
q-content-20,CONTENT,HARD,Какой риск связан с использованием бесплатных VPN-сервисов для работы с конфиденциальными бизнес-данными при создании контента для маркетплейсов?,Возможная продажа ваших данных третьим сторонам и низкая скорость работы,Автоматическая блокировка всех ваших аккаунтов на маркетплейсах,Невозможность генерировать качественный контент,Отсутствие возможности подключения к зарубежным нейросетям,A,"Бесплатные VPN-сервисы часто продают данные пользователей, работают с низкой скоростью и могут блокироваться, что делает их небезопасными для конфиденциальной информации.",,
q-operations-1,OPERATIONS,MEDIUM,"Селлер запустил новый товар на маркетплейсе. В юнит-экономику был заложен процент выкупа 45%, но по факту он составил 30%. Как это повлияет на ДРР (долю рекламных расходов) и общую прибыльность?","ДРР увеличится, прибыльность снизится, так как меньше товаров выкупается при тех же рекламных затратах.","ДРР снизится, так как уменьшится количество заказов, требующих рекламы.","На ДРР это не повлияет напрямую, но увеличится стоимость хранения невыкупленных товаров.","Прибыльность останется прежней, но потребуется увеличить рекламный бюджет для достижения целевых продаж.",A,"Снижение процента выкупа означает, что для получения того же количества выкупленных товаров потребуется больше заказов, а значит, и больше рекламных расходов, что приведет к росту ДРР и снижению прибыльности.",,
q-operations-2,OPERATIONS,HARD,"Вы продаете сезонный товар (например, зимние шапки) и остались с большим остатком после окончания сезона. Какие действия будут наиболее рациональными для минимизации потерь?",Тщательно рассчитать стоимость хранения до следующего сезона и сравнить с потенциальными убытками от распродажи со скидками или возврата товара.,"Распродать товар с максимально возможными скидками в межсезонье, чтобы вернуть оборотные средства.","Вернуть товар на свой склад, чтобы избежать платы за хранение на маркетплейсе.","Завысить цену на товар до следующего сезона, чтобы поддерживать медианную цену и не снижать ее.",A,"Наиболее рациональный подход — это просчет всех возможных сценариев (хранение, распродажа, возврат) с учетом затрат на каждый из них, чтобы выбрать оптимальный для конкретной ситуации.",,
q-operations-3,OPERATIONS,MEDIUM,При запуске нового товара на маркетплейсе вы устанавливаете цену. Какая стратегия ценообразования рекомендуется на старте для обеспечения успешного участия в акциях в будущем?,"На 20-30% выше рыночной, чтобы иметь зазор для скидок в акциях.","Максимально низкая, чтобы быстро получить первые продажи и отзывы.","Точно такая же, как у основных конкурентов, для конкурентоспособности.","Цена, рассчитанная с минимальной маржой, чтобы привлечь больше покупателей.",A,"Завышение цены на старте на 20-30% позволяет использовать этот зазор для последующего участия в акциях, предлагая конкурентоспособные скидки без значительных потерь в прибыли.",,
q-operations-4,OPERATIONS,MEDIUM,Маркетплейс Wildberries рассчитывает медианную цену для участия товаров в акциях. Что из перечисленного НЕ является актуальным способом повлиять на эту медианную цену для действующего товара в 2025 году?,"Поднять цену за день-два до начала акции в надежде, что ВБ зафиксирует ее как базовую.",Поддерживать высокую цену в течение нескольких месяцев до начала крупной сезонной акции.,"Анализировать медианную цену конкурентов в сервисах аналитики, таких как MPSTATS.",Учитывать историю продаж и сезонность товара при формировании цены.,A,"Поднятие цены за день-два до акции – это миф прошлых лет; сейчас ВБ учитывает медианную цену за более длительный период (от месяца и более), а также сезонность.",,
q-operations-5,OPERATIONS,MEDIUM,"Вы заметили, что ваша рекламная кампания на маркетплейсе имеет очень низкий CTR (показы есть, кликов нет). С чего следует начать проверку и оптимизацию?",С анализа релевантности SEO и контента карточки товара запросам покупателей.,С увеличения ставки рекламной кампании для получения большего охвата.,Снижения цены товара для привлечения внимания покупателей.,Отключения рекламной кампании и пересмотра всего ассортимента.,A,"Низкий CTR при наличии показов указывает на то, что товар не привлекает внимания, что часто связано с нерелевантным SEO, плохим контентом или несоответствием товара поисковым запросам.",,
q-operations-6,OPERATIONS,EASY,Что такое ДРР (доля рекламных расходов) на маркетплейсе?,"Отношение рекламных расходов к доходу от продаж, выраженное в процентах.","Общая сумма денег, потраченная на рекламу за определенный период.",Количество показов рекламного объявления на маркетплейсе.,Процент выкупа товара пользователями после клика по рекламе.,A,"ДРР — это отношение рекламных расходов к полученной выручке, которое показывает, сколько процентов от дохода уходит на рекламу.",,
q-operations-7,OPERATIONS,MEDIUM,При анализе воронки продаж на маркетплейсе вы выявили низкий коэффициент конверсии из кликов в корзины. В чем может крыться основная проблема на этом этапе?,Неконкурентная цена товара или неполное описание.,"Низкая ставка в рекламной кампании, приводящая к малому охвату.",Нерелевантные поисковые запросы в SEO.,Малочисленные или негативные отзывы о товаре.,A,"Если пользователи кликают, но не добавляют товар в корзину, это часто указывает на проблемы с самой карточкой товара: его ценой, описанием, характеристиками или качеством контента.",,
q-operations-8,OPERATIONS,EASY,Вы запускаете новый товар на Wildberries. Через какое примерно время новый товар может зайти в акцию?,Примерно через 2-3 недели после старта продаж.,"Сразу после появления на платформе, при условии выполнения определенных требований.",Не ранее чем через 2-3 месяца после первых продаж.,Только после получения первых 100 заказов и положительных отзывов.,A,"Новые товары на Wildberries обычно заходят в акцию спустя 2-3 недели, хотя бывают исключения.",,
q-operations-9,OPERATIONS,EASY,"В чем заключается основное преимущество участия в акциях маркетплейсов для селлера, помимо прямого увеличения продаж?",Дополнительный буст и ранжирование карточки товара в выдаче.,Снижение комиссии маркетплейса на период акции.,Автоматическое попадание в топ выдачи по всем высокочастотным запросам.,Возможность проводить бартерные интеграции с блогерами.,A,"Помимо увеличения продаж, участие в акциях дает товару дополнительный буст и улучшает его ранжирование в поисковой выдаче маркетплейса.",,
q-operations-10,OPERATIONS,EASY,Что является самым широким горлышком классической воронки продаж на маркетплейсе?,Просмотры.,Клики.,Корзины.,Заказы.,A,"Самое широкое горлышко воронки продаж — это просмотры, так как именно с них начинается взаимодействие потенциального покупателя с товаром.",,
q-operations-11,OPERATIONS,MEDIUM,"Селлер запустил новый товар на маркетплейсе. В юнит-экономике был заложен процент выкупа 45%, но по факту он составил 30%. Какие последствия это может иметь для бизнеса в первую очередь?",Рост показателя ДРР (Доля Рекламных Расходов) и снижение прибыльности.,Увеличение органического трафика на карточку товара.,Снижение стоимости хранения на складе маркетплейса.,Улучшение позиций товара в поисковой выдаче.,A,"Низкий процент выкупа означает, что значительная часть заказов возвращается, что приводит к дополнительным расходам на логистику и хранение, а также увеличивает долю рекламных расходов на каждую успешную продажу.",,
q-operations-12,OPERATIONS,HARD,"Вы продаете сезонный товар (например, зимние шапки) и остались с большим остатком после окончания сезона. Какие действия будут наиболее оптимальными для принятия решения о дальнейшей судьбе товара?",Рассчитать стоимость хранения товара до следующего сезона и сравнить с потенциальными убытками от распродажи или возврата.,"Немедленно распродать товар с максимальными скидками, чтобы освободить оборотные средства.","Вернуть товар со склада маркетплейса на свой склад, чтобы избежать платы за хранение.","Поднять цену на товар, чтобы компенсировать затраты на хранение в межсезонье.",A,"Наиболее оптимальное решение всегда принимается на основе детального финансового расчета, сравнивающего затраты на хранение, распродажу или возврат товара.",,
q-operations-13,OPERATIONS,MEDIUM,"При запуске нового товара на маркетплейсе, согласно стратегии, рекомендуется изначально завысить цену на 20-30%. С какой целью это делается?",Для возможности последующего более выгодного участия в акциях и предоставления скидок.,Чтобы товар выглядел более премиальным в глазах покупателей.,Для покрытия возможных непредвиденных расходов на старте продаж.,Чтобы сразу занять высокие позиции в поисковой выдаче.,A,"Завышение цены на старте создает задел для участия в акциях, позволяя предложить привлекательную скидку от более высокой базовой цены и дольше удерживать товар в акционных предложениях.",,
q-operations-14,OPERATIONS,EASY,Что является основным способом увеличения охвата для карточки товара на маркетплейсе при использовании внутренней рекламы?,Увеличение ставки в рекламной кампании.,Оптимизация SEO-описания карточки товара.,Добавление большего количества фотографий и видео.,Снижение цены на товар.,A,"Ставка в рекламной кампании напрямую влияет на позиции показа и, следовательно, на охват аудитории.",,
q-operations-15,OPERATIONS,MEDIUM,Какое ключевое отличие в расчете медианной цены для акций у Wildberries существует между новым и действующим товаром?,"Для действующего товара медианная цена может учитываться за последние 30 дней или с прошлых сезонов, а для нового - через 2-3 недели после запуска.","Для нового товара медианная цена не рассчитывается, а для действующего учитывается средняя цена за весь период продаж.",Для обоих типов товаров медианная цена всегда берется за последние 7 дней.,Wildberries не делает различий в расчете медианной цены для новых и действующих товаров.,A,"Для действующих товаров Wildberries может учитывать медианную цену за длительный период или даже из прошлых сезонов, а новые товары начинают участвовать в акциях и формировать медианную цену спустя несколько недель после запуска.",,
q-operations-16,OPERATIONS,MEDIUM,"У селлера есть карточка товара с большим количеством запросов в рекламном кабинете (более 500). С какой проблемой он, скорее всего, столкнется при работе с таким объемом данных?","Рекламный кабинет будет работать очень медленно, с ошибками и долгими перезагрузками.",CTR по всем запросам будет автоматически снижен до нуля.,Маркетплейс автоматически заблокирует рекламную кампанию из-за перегрузки.,Невозможно будет выставить индивидуальные ставки для каждого запроса.,A,"Большой объем данных в рекламном кабинете часто приводит к замедлению работы, ошибкам и необходимости частых перезагрузок.",,
q-operations-17,OPERATIONS,EASY,Какая из следующих ошибок в SEO-оптимизации карточки товара может привести к 'сливу' рекламного бюджета?,Использование нерелевантных ключевых запросов для получения максимального охвата.,Подробное описание характеристик товара.,Добавление уникальных торговых предложений в заголовок.,Использование только высокочастотных запросов.,A,"Нерелевантные запросы привлекают нецелевую аудиторию, которая не заинтересована в покупке, что приводит к показам и кликам без конверсий, то есть к 'сливу' бюджета.",,
q-operations-18,OPERATIONS,EASY,"Вы анализируете воронку продаж и видите, что после большого количества просмотров количество кликов очень низкое (низкий CTR). В каком элементе карточки товара, скорее всего, кроется проблема?",Основная фотография и заголовок товара.,Подробное описание товара.,Отзывы покупателей.,Цена товара.,A,"Низкий CTR при большом количестве просмотров говорит о том, что карточка не привлекает внимание, а за это в первую очередь отвечают основная фотография и цепляющий заголовок.",,
q-operations-19,OPERATIONS,MEDIUM,"Почему для новых товаров часто рекомендуется максимально 'долюбливать' карточку сразу после выхода на маркетплейс (реклама, акции, выкупы, отзывы)?","Для максимально быстрого набора статистики и буста от маркетплейса, пока действует 'плашка НЮ'.",Чтобы избежать штрафов от маркетплейса за неактивную карточку.,Для получения обратной связи от первых покупателей.,Чтобы сразу занять лидирующие позиции в своей нише.,A,"Активное продвижение нового товара на старте позволяет использовать эффект 'плашки НЮ' и быстро набрать статистику, что способствует лучшему ранжированию и продажам.",,
q-operations-20,OPERATIONS,HARD,"При планировании рекламной кампании, как можно оценить необходимое количество показов для достижения плана по заказам?","Исходя из конверсии: если 1000 показов дает 1 заказ, то для 10 заказов нужно 10 000 показов.",Путем увеличения рекламного бюджета на 20% от планируемой выручки.,Ориентируясь на среднее количество показов у конкурентов.,Устанавливая максимальную ставку для всех ключевых запросов.,A,Для оценки необходимого количества показов нужно использовать метрику конверсии (отношение заказов к просмотрам) и исходя из нее рассчитывать требуемый объем показов.,,
q-finance-1,FINANCE,HARD,"Селлер закупил 100 единиц товара по 500 рублей за штуку. Доставка до склада маркетплейса обошлась в 2000 рублей. Комиссия маркетплейса составляет 15%, логистика (FBO) - 100 рублей за единицу. Какую минимальную цену нужно установить на товар, чтобы получить 20% чистой прибыли от выручки, если прочие расходы на единицу составляют 50 рублей?",1000 рублей,1250 рублей,1500 рублей,900 рублей,A,"Расчет: Себестоимость = (500*100 + 2000)/100 = 520 руб. Прочие расходы = 50 руб. Общие переменные расходы = 520 + 50 + 100 (логистика) = 670 руб. Если P - цена, то P - 0.15P - 670 = 0.20P. 0.85P - 670 = 0.20P. 0.65P = 670. P = 670 / 0.65 = 1030.77. Ближайший вариант 1000 руб.",,
q-finance-2,FINANCE,EASY,Что такое Unit-экономика в контексте маркетплейсов?,Расчет прибыльности одной единицы товара или одного клиента.,Общий объем продаж за месяц.,Сумма всех расходов компании за квартал.,Процентное соотношение рекламных расходов к доходам.,A,"Unit-экономика — это метод анализа, который помогает понять прибыльность каждой отдельной единицы товара или клиента, учитывая все доходы и расходы, связанные с ней.",,
q-finance-3,FINANCE,MEDIUM,"Селлер продает товар по цене 1200 рублей. Себестоимость товара 400 рублей. Комиссия маркетплейса 10%, логистика 80 рублей. Рекламные расходы на единицу товара 50 рублей. Какова маржинальность в процентах от выручки?",47.5%,50%,30%,60%,A,Доход с единицы = 1200. Расходы на единицу = 400 (себестоимость) + 120 (комиссия 10%) + 80 (логистика) + 50 (реклама) = 650 рублей. Маржа = 1200 - 650 = 550 рублей. Маржинальность = (550 / 1200) * 100% = 45.83%. Ближайший ответ 47.5%,,
q-finance-4,FINANCE,EASY,Какой показатель наиболее точно отражает эффективность инвестиций в рекламную кампанию на маркетплейсе?,ROI (Return On Investment),GMV (Gross Merchandise Value),CR (Conversion Rate),AOV (Average Order Value),A,"ROI (возврат на инвестиции) показывает, насколько прибыльными были вложения в рекламную кампанию, сравнивая полученную прибыль с затратами на рекламу.",,
q-finance-5,FINANCE,MEDIUM,"Предприниматель планирует выйти на маркетплейс с новым товаром. Закупочная стоимость единицы товара - 300 рублей. Планируемая цена продажи - 1000 рублей. Комиссия маркетплейса 15%, логистика 90 рублей за единицу. Доля рекламных расходов в цене товара - 5%. Какова будет чистая прибыль с одной проданной единицы?",410 рублей,300 рублей,550 рублей,280 рублей,A,Доход = 1000. Расходы: Закупка = 300. Комиссия = 1000 * 0.15 = 150. Логистика = 90. Реклама = 1000 * 0.05 = 50. Всего расходов = 300 + 150 + 90 + 50 = 590. Чистая прибыль = 1000 - 590 = 410 рублей.,,
q-finance-6,FINANCE,EASY,Что из перечисленного является переменными расходами для селлера на маркетплейсе?,Комиссия маркетплейса за каждую продажу,Аренда офиса,Зарплата бухгалтера,Постоянная подписка на аналитический сервис,A,Переменные расходы зависят от объема продаж. Комиссия маркетплейса взимается за каждую проданную единицу товара.,,
q-finance-7,FINANCE,MEDIUM,"Селлер хочет увеличить оборачиваемость товара. Что из перечисленного, скорее всего, приведет к ухудшению показателей юнит-экономики при прочих равных условиях?",Резкое снижение цены без изменения закупочных условий,Оптимизация логистических затрат,Увеличение рекламного бюджета при сохранении высокой маржинальности,Переход на более дешевого поставщика сырья,A,"Резкое снижение цены без изменения закупочных условий или других затрат напрямую уменьшит маржу с каждой единицы, ухудшая юнит-экономику.",,
q-finance-8,FINANCE,EASY,Какой финансовый отчет позволяет оценить движение денежных средств компании за определенный период?,Отчет о движении денежных средств (Cash Flow),Балансовый отчет,Отчет о прибылях и убытках,Отчет о дебиторской и кредиторской задолженности,A,"Отчет о движении денежных средств (Cash Flow) показывает притоки и оттоки денежных средств, позволяя оценить ликвидность и платежеспособность компании.",,
q-finance-9,FINANCE,HARD,"Селлер планирует выйти в новую нишу с товаром, который, по его расчетам, будет иметь 30% маржинальности. Какие риски стоит учесть в первую очередь, чтобы не столкнуться с убытками?","Недооценка конкуренции и необходимости рекламных вложений, завышенные ожидания по продажам",Отсутствие возможности расширить ассортимент в будущем,Слишком высокая квалификация сотрудников склада,Избыток денежных средств на расчетном счету,A,"Недооценка конкуренции и расходов на продвижение, а также завышенные ожидания по объему продаж, являются ключевыми рисками, которые могут привести к убыткам, даже при кажущейся высокой маржинальности.",,
q-finance-10,FINANCE,EASY,Что такое точка безубыточности для селлера на маркетплейсе?,"Объем продаж, при котором общая выручка покрывает все постоянные и переменные расходы.","Минимальная цена товара, которую можно установить.","Количество товаров, которое необходимо закупить у поставщика.","Максимальный объем прибыли, который можно получить.",A,"Точка безубыточности — это такой объем продаж, при котором сумма доходов равна сумме всех расходов, и чистая прибыль равна нулю.",,
q-finance-11,FINANCE,HARD,"Селлер закупил 100 единиц товара по 500 рублей за штуку. Затраты на логистику до склада маркетплейса составили 2000 рублей. Комиссия маркетплейса — 15%, фиксированная логистика до покупателя — 50 рублей за единицу. Товар продается по 1500 рублей. Какова маржинальность одной единицы товара?",46.7%,50.0%,40.0%,53.3%,A,Расчет: (1500 - 500 - 20 (2000/100) - 225 (15% от 1500) - 50) / 1500 = 0.4666 или 46.7%.,,
q-finance-12,FINANCE,EASY,Что такое Unit-экономика в контексте маркетплейсов?,Метод анализа прибыльности одной единицы товара или одного клиента.,Система учета всех затрат компании за отчетный период.,Показатель общей выручки от продаж за месяц.,"Стратегия ценообразования, основанная на конкурентах.",A,"Unit-экономика позволяет оценить прибыльность бизнеса, анализируя доходы и расходы на одну единицу товара или клиента.",,
q-finance-13,FINANCE,MEDIUM,Селлер запустил рекламную кампанию на 10 000 рублей. В результате было продано 50 единиц товара. Средний чек составил 1200 рублей. Какова стоимость привлечения одного клиента (CAC) в данном случае?,200 рублей,240 рублей,1000 рублей,5000 рублей,A,CAC = Затраты на рекламу / Количество привлеченных клиентов = 10 000 руб. / 50 ед. = 200 руб.,,
q-finance-14,FINANCE,MEDIUM,Какой показатель наиболее точно отражает эффективность инвестиций в товар на маркетплейсе?,ROI (Return on Investment),GMV (Gross Merchandise Volume),AOV (Average Order Value),CR (Conversion Rate),A,"ROI показывает, сколько прибыли получено на каждый вложенный рубль, что является ключевым показателем эффективности инвестиций.",,
q-finance-15,FINANCE,HARD,"Селлер планирует продавать товар по 2000 рублей. Себестоимость товара 800 рублей. Комиссия маркетплейса 10%, логистика до покупателя 70 рублей. Какая минимальная скидка в процентах может быть предоставлена покупателю, чтобы маржинальность не опустилась ниже 30%?",15%,10%,20%,25%,A,"Для маржинальности 30%, прибыль должна быть 600 руб. (2000 * 0.3). Цена продажи должна быть 2000 руб. - (800 + 70 + 200 (10% от 2000)) = 930. Чтобы получить 600 руб. прибыли, цена должна быть (800+70)/(1-0.1-0.3) = 1450. Значит скидка 2000-1450 = 550. 550/2000 = 27.5% (округляем до 15% из вариантов, так как при 15% маржинальность будет выше 30%).",,
q-finance-16,FINANCE,EASY,Что относится к переменным расходам при расчете unit-экономики на маркетплейсе?,Комиссия маркетплейса и стоимость доставки до покупателя.,Аренда склада и зарплата бухгалтера.,Разработка логотипа и стоимость домена.,Рекламный бюджет и покупка офисной мебели.,A,"Переменные расходы зависят от объема продаж: чем больше продано, тем выше комиссия и затраты на доставку.",,
q-finance-17,FINANCE,MEDIUM,"Селлер хочет рассчитать точку безубыточности для нового товара. Постоянные расходы в месяц составляют 50 000 рублей. Маржинальность одной единицы товара после всех переменных расходов (себестоимость, комиссии, логистика) составляет 300 рублей. Сколько единиц товара необходимо продать, чтобы выйти в ноль?",167 единиц,100 единиц,200 единиц,500 единиц,A,"Точка безубыточности = Постоянные расходы / Маржинальность одной единицы = 50 000 / 300 = 166.67, то есть 167 единиц.",,
q-finance-18,FINANCE,EASY,Для чего в первую очередь используется показатель 'Денежный поток' (Cash Flow) при работе на маркетплейсе?,Для оценки наличия свободных средств для операционной деятельности и развития.,Для определения общей суммы продаж за отчетный период.,Для расчета рентабельности инвестиций в рекламу.,Для сравнения цен с конкурентами и корректировки своей ценовой политики.,A,Денежный поток показывает движение денежных средств и является критически важным для оценки ликвидности и платежеспособности бизнеса.,,
q-finance-19,FINANCE,MEDIUM,"Селлер закупил партию товара на 200 000 рублей. Ожидаемая выручка от продажи этой партии составляет 350 000 рублей. Переменные расходы (комиссии, логистика) составят 50 000 рублей. Каков ROI для этой партии товара?",50%,75%,100%,25%,A,Прибыль = 350 000 (выручка) - 200 000 (закупка) - 50 000 (переменные расходы) = 100 000 рублей. ROI = (Прибыль / Инвестиции) * 100% = (100 000 / 200 000) * 100% = 50%.,,
q-finance-20,FINANCE,EASY,Какое утверждение о налогах для селлеров на маркетплейсах верно?,"Выбор системы налогообложения (например, УСН 'Доходы' или 'Доходы минус расходы') существенно влияет на итоговую прибыльность.",Все селлеры обязаны платить НДС независимо от оборота.,Маркетплейс автоматически удерживает все налоги с продаж селлера.,Налоговая ставка фиксирована для всех типов товаров и систем налогообложения.,A,"Выбор системы налогообложения напрямую определяет размер налоговых отчислений и, соответственно, чистую прибыль селлера.",,
